,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",Jon Fingas,Tesla Model S range edges closer to 400 miles - Engadget,The Model X has also received a range boost.,https://www.engadget.com/2020/02/15/tesla-extends-model-s-x-range/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D6868%252C4579%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1067%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2020-02%252F60932560-4785-11ea-a7f7-fc3494e78f5c%26client%3Da1acac3e1b3290917d92%26signature%3Db7bce454f6a7049351ef1f45f6f03b8a39ae08f7&client=amp-blogside-v2&signature=4eb6129620ecbcf98bb92ba399796f587725e4ae,2020-02-15T17:25:48Z,"Real-life results are bound to vary based on the temperature, your use of climate control and your driving habits. However, Musk added that the new figures might be conservative. He claimed that Model S and X cars made in ""recent months"" can perform better th… [+1117 chars]"
1,"{'id': 'fox-news', 'name': 'Fox News'}",Gerren Keith Gaynor,"American Airlines passenger in seat recliner controversy wants to press charges, flight attendant fired - Fox News",Wendi Williams maintains she was 'assaulted' and wants to hold airline worker accountable.,https://www.foxnews.com/travel/american-airlines-passenger-press-charges-attendant-fired,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/american-airlines-istock.jpg,2020-02-15T17:03:15Z,"The woman who said her reclined seat was repeatedly punched by an airline passenger sitting behind her, now says she wants to press charges against him.
Wendi Williams, who posted a now-viral video of the tense encounter, said the unidentified man should be … [+2224 chars]"
2,"{'id': None, 'name': 'Marketwatch.com'}",Jeffry Bartash,Here are vulnerable parts of the U.S. economy that coronavirus may infect - MarketWatch,"Festering worries about the spread of COVID-19 is a potential peril for the U.S. economy, but ailing manufacturers and tepid investment are already muzzling...",https://www.marketwatch.com/story/here-are-vulnerable-parts-of-the-us-economy-that-coronavirus-may-infect-2020-02-15,http://s.marketwatch.com/public/resources/MWimages/MW-IA351_train__ZG_20200214155234.jpg,2020-02-15T17:00:00Z,"Festering worries about the spread of COVID-19 is a potential peril for the U.S. economy, but ailing manufacturers and tepid investment are already muzzling growth.
Wall Street has been hoping for fresh signs of a rebound in business spending, but the first … [+3628 chars]"
3,"{'id': None, 'name': 'Detroitnews.com'}",Sarah Rahal,"Report: Art Van Furniture explores sale, possible bankruptcy - The Detroit News","The company is looking at options so it ""can continue serving our guests and our communities,"" a spokeswoman said",https://www.detroitnews.com/story/news/local/michigan/2020/02/15/report-art-van-furniture-explores-sale-possible-bankruptcy/4766649002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2019/05/09/PDTN/19ee8346-d789-4e5e-922f-d5f7fef99d6d-tdndc5-6tle99neko661w4pi4b_original.jpg?crop=2979,1676,x0,y0&width=1600&height=800&fit=bounds",2020-02-15T16:51:00Z,"Art Van Furniture's private-equity owner is exploring the option of selling the company and filing for bankruptcy, according to a Friday report in Crain's Detroit Business.
Boston-based Thomas H. Lee Partners bought Art Van in February 2017 for $550 million,… [+2527 chars]"
4,"{'id': None, 'name': 'Newsbtc.com'}",,"Bitcoin Plummets to $9,700 in Violent Selloff After Breaking Below a Key Level - newsBTC","Bitcoin saw a sharp selloff this morning that sent the crypto reeling as low as $9,700, which came about after BTC broke below a key technical formation",https://www.newsbtc.com/2020/02/15/bitcoin-plummets-to-9700-in-violent-selloff-after-breaking-below-a-key-level/,https://www.newsbtc.com/wp-content/uploads/2020/02/shutterstock_670059913-1200x780.jpg,2020-02-15T16:21:13Z,"Bitcoin saw an incredibly sharp selloff this morning after previously being caught within a firm bout of sideways trading around $10,300. This latest selloff sent BTC reeling below the key $10,000 price region, marking the first break below this level since l… [+2359 chars]"
5,"{'id': None, 'name': 'Loudwire.com'}",joedivita,Rage Against the Machine Stopped 85 Percent of Ticket Scalpers - Loudwire,And they've raised over $3 million for charity through ticket sales.,https://loudwire.com/rage-against-the-machine-tickets-3-million-charity-stop-85-percent-scalpers/,https://townsquare.media/site/366/files/2020/02/Tom-Morello-Rage-Against-the-Machine.jpg?w=1200&h=0&zc=1&s=0&a=t&q=89,2020-02-15T16:08:00Z,"Tickets for Rage Against the Machine's reunion tour are on sale, and, despite the band's efforts to combat ticket scalpers and severely inflated prices, fans are still pissed over the whole thing. Lost in this sea of anger is the realization that, per Tom Mor… [+3617 chars]"
6,"{'id': None, 'name': 'Sfgate.com'}",Eric Ting,Facebook cancels San Francisco conference over coronavirus fears - SFGate,Facebook has canceled an upcoming global marketing conference that was to be held in San Francisco's Moscone Center due to fears related to the spread of the coronavirus.,https://www.sfgate.com/news/article/Facebook-coronavirus-San-Francisco-conference-Bay-15058989.php,https://s.hdnux.com/photos/01/10/47/14/19034920/5/rawImage.jpg,2020-02-15T16:03:00Z,"<ul><li>FILE - In this March 29, 2018 file photo shows the logo for Facebook at the Nasdaq MarketSite, in New York's Times Square. The social media company decided to cancel its conference scheduled for March over coronavirus fears.
 less
FILE - In this Mar… [+2267 chars]"
7,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"Treat us like something between a telco and a newspaper, says Facebook's Zuckerberg - Reuters","Facebook Chief Executive Mark Zuckerberg said harmful online content should be regulated, adding that his company should be treated with a framework in between those used for existing media and telecoms companies.",https://www.reuters.com/article/us-germany-security-facebook-idUSKBN2090MA,https://s2.reutersmedia.net/resources/r/?m=02&d=20200215&t=2&i=1490729665&w=1200&r=LYNXMPEG1E0D4,2020-02-15T15:55:00Z,"MUNICH (Reuters) - Facebook (FB.O) Chief Executive Mark Zuckerberg said harmful online content should be regulated, adding that his company should be treated with a framework in between those used for existing media and telecoms companies. 
“I do think that … [+662 chars]"
8,"{'id': None, 'name': 'Newser.com'}",Jenn Gidman,"Workers at Wendy's in Greenville, Michigan Fired After Video Shows Worker Bathing in Sink - Newser",Video showed worker bathing in sink in Michigan restaurant,https://www.newser.com/story/286986/wendys-worker-takes-bath-on-the-job-gets-canned.html,https://img1-azrcdn.newser.com/image/1282494-12-20200215085748.jpeg,2020-02-15T14:30:00Z,"(Newser)
Multiple workers at a Michigan Wendy's have been canned after a video showed one of their own bathing in a sink. The video, which ClickOnDetroit.com notes was originally posted on TikTok before ending up on a community Facebook page, shows a young m… [+1053 chars]"
9,"{'id': None, 'name': 'Foxbusiness.com'}",Suzanne O'Halloran,February is a stock love fest for investors - Fox Business,"The American economy, earnings and politics are helping drive stocks.",https://www.foxbusiness.com/markets/february-is-a-stock-love-fest-for-investors,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2020/02/0/0/Stock-Market-Heart-iStock.jpg?ve=1&tl=1,2020-02-15T13:56:21Z,"Valentine’s Day is over, but investors' love affair with stocks may continue all month long and then some if history is any guide.
Over the past decade, the three major averages have produced their best monthly gains of the entire year in February, according… [+2903 chars]"
10,"{'id': None, 'name': 'Nj.com'}",Jeff Goldman | NJ Advance Media for NJ.com,N.J.'s biggest lottery jackpot wins: Where does the $202M Mega Million ticket rank? - NJ.com,Richard Wahl's $533 million Mega Millions win in 2018 remains the biggest jackpot ever won in the Garden State.,https://www.nj.com/lottery/2020/02/njs-biggest-lottery-jackpot-wins-where-does-the-202-million-mega-million-ticket-rank.html,https://www.nj.com/resizer/uhk0oDWgbmFRhfuUyEuaBJadfjc=/1280x0/filters:focal(616x302:626x292)/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/XDI3HV3C4NAF3IMAIX2T636IOU.jpg,2020-02-15T13:00:00Z,"While the $202 million jackpot-winning ticket sold in at an Edison convenience is a gigantic sum of money, it ranks just the 13th largest for jackpots won or split in New Jersey.
The biggest - a $533 million Mega Millions jackpot won with a ticket bought at … [+3778 chars]"
11,"{'id': None, 'name': 'Barrons.com'}",Nicholas Jasinski,Roku Is Growing Fast but Analysts Are Divided About the Stock - Barron's,,https://www.barrons.com/articles/roku-stock-growth-valuation-earnings-price-51581719548,https://images.barrons.com/im-154643/social,2020-02-15T12:45:00Z,"Roku
 blew through Wall Streets expectations when it reported fourth-quarter results on Thursday evening. Management gave a confident forecast for 2020, but with heavier investment spending than many analysts had expected. Investors were left to weigh the co… [+4528 chars]"
12,"{'id': None, 'name': 'Fool.com'}",Maurie Backman,This 1 Savings Tool Offers 3 Different Tax Breaks - Motley Fool,Here's one financial product that's definitely worth capitalizing on.,https://www.fool.com/taxes/2020/02/15/this-1-savings-tool-offers-3-different-tax-breaks.aspx,https://g.foolcdn.com/editorial/images/557752/health-savings-jar_gettyimages-911348656.jpg,2020-02-15T12:36:00Z,"If your goal is to save money in a tax-advantaged fashion, you have several options at your disposal. You can put money into a traditional IRA or 401(k) and snag a tax break on your contributions to either retirement plan. Or, you can fund a Roth IRA or 401(k… [+2682 chars]"
13,"{'id': 'bloomberg', 'name': 'Bloomberg'}",,"Stocks, Equities News: Stock Market Bulls Off Rails Again - Bloomberg",,https://www.bloomberg.com/tosv2.html?vid=&uuid=89dfe590-5002-11ea-a171-c1e3ecc2cacd&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0wMi0xNS9hbGwtdGhlLXdheXMtc3RvY2stbWFya2V0LWJ1bGxzLWhhdmUtZ29uZS1vZmYtdGhlLXJhaWxzLWFnYWlu,,2020-02-15T12:00:00Z,"To continue, please click the box below to let us know you're not a robot."
14,"{'id': 'wired', 'name': 'Wired'}",WIRED Staff,"37 Best Presidents' Day Sales (2020): Mattresses, Kitchenware, Tech - WIRED","We found the best tech bargains for the long holiday weekend from Apple, Amazon, Fitbit, and more.",https://www.wired.com/story/presidents-day-sales-2020/,"https://media.wired.com/photos/5e46d449281efd000882f1ca/191:100/w_1280,c_limit/Gear-Feature-Amazon-Fire-TV-Stick-4K-2018-SOURCE-Amazon.jpg",2020-02-15T12:00:00Z,"Presidents' Day is on Monday, February 17. Many of us have the luxury of a long weekend, full of possibilities thanks to an extra 24 hours away from work. Even if you're stuck working on Monday, there's one silver lining: The dozens of Presidents' Day deals. … [+2914 chars]"
15,"{'id': None, 'name': 'Fool.com'}",Maurie Backman,3 Reasons to Invest in Dividend Stocks - The Motley Fool,Like steady income? Then dividend stocks are probably a good choice for you.,https://www.fool.com/retirement/2020/02/15/3-reasons-to-invest-in-dividend-stocks.aspx,https://g.foolcdn.com/editorial/images/557744/dividends_gettyimages-480277818.jpg,2020-02-15T11:18:00Z,"Investing in stocks is a good way to grow wealth in the long run, and it's a wise strategy to employ in the course of saving for retirement. But if you're going to put money into stocks, it pays to load up on those that pay dividends.
If you're not familiar … [+2730 chars]"
16,"{'id': 'engadget', 'name': 'Engadget'}",Mariella Moon,Elon Musk's Boring Company is done excavating first Las Vegas tunnel - Engadget,The Boring Company finished digging a tunnel under Las Vegas for its transportation loop.,https://www.engadget.com/2020/02/15/boring-company-first-las-vegas-tunnel/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D1200%252C807%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1076%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2020-02%252Ff9470cd0-4fa6-11ea-b6f7-526a34098341%26client%3Da1acac3e1b3290917d92%26signature%3Db8ef64b30c688f099f48b09e0d4688425ee2d359&client=amp-blogside-v2&signature=145bdaad09d596dcb6b66dd894cfea67776be39b,2020-02-15T10:22:44Z,"Breakthrough! https://t.co/vJ7Jmz2nNb
— The Boring Company (@boringcompany) February 14, 2020
Boring's crew spent three months digging the nearly mile-long tunnel 40 feet underground. LVCVA says the project is scheduled to debut in January 2021 -- who knows… [+412 chars]"
17,"{'id': None, 'name': 'Mrt.com'}",Stewart Doreen,Clayton Williams dies at age 88 - Midland Reporter-Telegram,A Midland legend passed away Friday night.,https://www.mrt.com/news/article/Clayton-Williams-dies-at-age-88-15058435.php,https://s.hdnux.com/photos/53/30/43/11372769/5/rawImage.jpg,2020-02-15T06:58:00Z,"<ul><li>1950: Clayton Williams was captain of the Ft. Stockton High School football team
Clayton Williams throughout the years&gt;&gt;&gt;
1950: Clayton Williams was captain of the Ft. Stockton High School football team
Clayton Williams throughout the year… [+2270 chars]"
18,"{'id': None, 'name': 'Kbtx.com'}",Mekena Rodriguez,Couple celebrates Valentine's Day with a Whatawedding - KBTX,Tayler and Gefforey Martin shared their love for each other and Whataburger during a small ceremony at a Whataburger in College Station.,https://www.kbtx.com/content/news/Couple-celebrates-Valentines-Day-with-a-Whatawedding-567899751.html,https://media.graytvinc.com/images/whataburger5.JPG,2020-02-15T05:13:08Z,"COLLEGE STATION, Tex. (KBTX)- From onion rings to wedding rings, one lucky couple what-a-sized their Valentines Day. 
Tayler and Gefforey Martin shared their love for each other and Whataburger during a small ceremony at a Whataburger in College Station. 
T… [+692 chars]"
